"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @neha_aks: TN Congress chief used a vulgar remark linking TN CM Jayalalitha and PM Modi https://t.co/H6ghFDFHBe",FALSE,0,NA,2016-07-20 19:40:15,FALSE,NA,"755849821605421057",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mallickamit85",31,TRUE,FALSE,NA,NA
"2","RT @Atheist_Krishna: It is understandable that you hate Modi, but how on earth can any sane minded person support Kejriwal.",FALSE,0,NA,2016-07-20 19:40:10,FALSE,NA,"755849802542264320",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","tyrionlanistr9",127,TRUE,FALSE,NA,NA
"3","yep I do everything wrong",FALSE,0,NA,2016-07-20 19:40:00,FALSE,NA,"755849761148669953",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","modi__sun",1,FALSE,FALSE,NA,NA
"4","RT @neha_aks: Seasoned Congress leader &amp; ex-union minister Ghulam Nabi Azad uses casteist slur against Modi,calls him ""Gangu Teli"" https://…",FALSE,0,NA,2016-07-20 19:39:59,FALSE,NA,"755849754911707136",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","shaili_prad",35,TRUE,FALSE,NA,NA
"5","Well on a serious note napping should not b a national debate topic.... political personalities are humans not super humans... b it MODI or",FALSE,0,NA,2016-07-20 19:39:59,FALSE,NA,"755849754001539072",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","udditsadhh",0,FALSE,FALSE,NA,NA
"6","RT @neha_aks: Suave Cong leader Mani Shankar Aiyar declares Modi is a snake, scorpion &amp; a dirty man https://t.co/weGZRRc4XA",FALSE,0,NA,2016-07-20 19:39:42,FALSE,NA,"755849685483401216",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","shaili_prad",24,TRUE,FALSE,NA,NA
"7","RT @neha_aks: Congress leader Arjun Modhwala comments on Modi's personal life (targeted abuse) and calls him failed husband https://t.co/K5…",FALSE,0,NA,2016-07-20 19:39:37,FALSE,NA,"755849662951743488",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","shaili_prad",28,TRUE,FALSE,NA,NA
"8","RT @jaiprakashshah2: Narendra Modi is 2nd most followed leader on LinkedIn with 1.6 million followers
https://t.co/MDOS8QWDlK

 NM App http…",FALSE,0,NA,2016-07-20 19:39:36,FALSE,NA,"755849659365531648",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","nk_satyam6",34,TRUE,FALSE,NA,NA
"9","RT @INCIndia: INC frontal organisations @nsui @IYC protest against price rise under the Modi Govt. #SansadGherao https://t.co/oSNCE1JsBE",FALSE,0,NA,2016-07-20 19:39:27,FALSE,NA,"755849621696499712",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SambitSrichand1",407,TRUE,FALSE,NA,NA
"10","RT @DaaruBaazMehta: Modi Govt 'paying' newspapers to carry Minister's interviews

RTI Exposes rampant misuse of Funds for 'Paid News' https…",FALSE,0,NA,2016-07-20 19:39:23,FALSE,NA,"755849606957785090",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Fight_For_India",151,TRUE,FALSE,NA,NA
"11","RT Kanahaiya25: Google lists PM Modi in ‘top criminals’, gets court notice
https://t.co/QliYiGvzJ7",FALSE,0,NA,2016-07-20 19:39:17,FALSE,NA,"755849579564822528",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","GathKari320",0,FALSE,FALSE,NA,NA
"12","RT @ArvindKejriwal: Manish, be prepared. Modi ji will either send CBI against u or declare that u did not have power to construct it https:…",FALSE,0,NA,2016-07-20 19:39:09,FALSE,NA,"755849547515961344",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","saurav_sauravk",1265,TRUE,FALSE,NA,NA
"13","RT @neha_aks: TN Congress chief used a vulgar remark linking TN CM Jayalalitha and PM Modi https://t.co/H6ghFDFHBe",FALSE,0,NA,2016-07-20 19:39:00,FALSE,NA,"755849508626370560",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","neerajrayal1402",31,TRUE,FALSE,NA,NA
"14","RT @kaushkrahul: How I wish BJP did this when Youth Cong Pres called Smritiji 'Modi ki Rani' or Nirupam called her Nachne wali. https://t.c…",FALSE,0,NA,2016-07-20 19:39:00,FALSE,NA,"755849506583748610",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Abhishek_UP_",8,TRUE,FALSE,NA,NA
"15","RT @neha_aks: Congress leader Arjun Modhwala comments on Modi's personal life (targeted abuse) and calls him failed husband https://t.co/K5…",FALSE,0,NA,2016-07-20 19:38:58,FALSE,NA,"755849498664972288",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","neerajrayal1402",28,TRUE,FALSE,NA,NA
"16","RT @neha_aks: Congress leader Arjun Modhwala comments on Modi's personal life (targeted abuse) and calls him failed husband https://t.co/K5…",FALSE,0,NA,2016-07-20 19:38:57,FALSE,NA,"755849495452221440",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dhanusat",28,TRUE,FALSE,NA,NA
"17","RT @neha_aks: Seasoned Congress leader &amp; ex-union minister Ghulam Nabi Azad uses casteist slur against Modi,calls him ""Gangu Teli"" https://…",FALSE,0,NA,2016-07-20 19:38:51,FALSE,NA,"755849471364243456",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PiyushPrusty",35,TRUE,FALSE,NA,NA
"18","RT @ArvindKejriwal: Manish, be prepared. Modi ji will either send CBI against u or declare that u did not have power to construct it https:…",FALSE,0,NA,2016-07-20 19:38:48,FALSE,NA,"755849458345140224",NA,"<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","chhuramaardunga",1265,TRUE,FALSE,NA,NA
"19","PM Narendra Modi at 11th Inter State Council Meet  https://t.co/8AK5MFNBFP

via NMApp https://t.co/Ic41qujZkH",FALSE,0,NA,2016-07-20 19:38:48,FALSE,NA,"755849457707589632",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","guptaak1960",0,FALSE,FALSE,NA,NA
"20","RT @neha_aks: Suave Cong leader Mani Shankar Aiyar declares Modi is a snake, scorpion &amp; a dirty man https://t.co/weGZRRc4XA",FALSE,0,NA,2016-07-20 19:38:46,FALSE,NA,"755849448740139008",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dhanusat",24,TRUE,FALSE,NA,NA
"21","RT @unknown_indian: When Priyanka said ""Neech Rajneeti"" it became an attack on Modi's caste, BJP is getting a dose of its own medicine http…",FALSE,0,NA,2016-07-20 19:38:46,FALSE,NA,"755849448673021952",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rsrajat365",7,TRUE,FALSE,NA,NA
"22","RT @neha_aks: Congress MP uses a casteist slur (Soma Ganda) against OBC Narendra Modi who is of Ghanchi caste https://t.co/NuHdSkaT3N",FALSE,0,NA,2016-07-20 19:38:36,FALSE,NA,"755849408462270464",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PiyushPrusty",20,TRUE,FALSE,NA,NA
"23","RT @neha_aks: Smriti Irani illegitimate wife of Narendra Modi: Assam Cong leader hits a new low in Indian politics via @indiacom https://t.…",FALSE,0,NA,2016-07-20 19:38:29,FALSE,NA,"755849378456281088",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","hivinayn",242,TRUE,FALSE,NA,NA
"24","RT @neha_aks: Suave Cong leader Mani Shankar Aiyar declares Modi is a snake, scorpion &amp; a dirty man https://t.co/weGZRRc4XA",FALSE,0,NA,2016-07-20 19:38:27,FALSE,NA,"755849370214379521",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","neerajrayal1402",24,TRUE,FALSE,NA,NA
"25","RT @neha_aks: Congress MP uses a casteist slur (Soma Ganda) against OBC Narendra Modi who is of Ghanchi caste https://t.co/NuHdSkaT3N",FALSE,0,NA,2016-07-20 19:38:25,FALSE,NA,"755849363671293952",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","neerajrayal1402",20,TRUE,FALSE,NA,NA
"26","RT @neha_aks: Another suave Congress leader, IITian Jairam Ramesh calls Modi, ""Bhasmasur"" https://t.co/E1TJfqZaTk",FALSE,0,NA,2016-07-20 19:38:25,FALSE,NA,"755849361922330624",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","neerajrayal1402",24,TRUE,FALSE,NA,NA
"27","RT @neha_aks: Seasoned Congress leader &amp; ex-union minister Ghulam Nabi Azad uses casteist slur against Modi,calls him ""Gangu Teli"" https://…",FALSE,0,NA,2016-07-20 19:38:19,FALSE,NA,"755849336748027904",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","neerajrayal1402",35,TRUE,FALSE,NA,NA
"28","RT @neha_aks: Congress MP uses a casteist slur (Soma Ganda) against OBC Narendra Modi who is of Ghanchi caste https://t.co/NuHdSkaT3N",FALSE,0,NA,2016-07-20 19:38:15,FALSE,NA,"755849320054697984",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","failedengineer1",20,TRUE,FALSE,NA,NA
